Category,Sentence,,,,,,,
PE,The system{B-Actor} shall refresh the display{B-HW} every 60{B-TIM} seconds{I-TIM}.,,,,,,,
LF,The application{B-SSW} shall match the color of the schema set forth by Department{B-ORG} of Homeland{I-ORG} Security{I-ORG},,,,,,,
US,If projected  the data must be readable.  On a 10x10 projection screen{B-HW}  90% of viewers must be able to read{B-EVE} Event / Activity{I-EVE} data from a viewing distance{B-NUM} of 30{I-NUM},,,,,,,
A,The product{B-SSW} shall be available during normal business hours{B-TIM}. As long as the user{B-Actor} has access to the client PC{B-HW}  the system{B-Actor} will be available 99% of the time during the first six{B-TIM} months{I-TIM} of operation.,,,,,,,
US,If projected  the data must be understandable. On a 10x10 projection screen  90% of viewers{B-Actor} must be able to determine that Events or Activities are occuring in current time from a viewing distance of 100,,,,,,,
SE,The product{B-SSW} shall ensure that it can only be accessed by authorized users{B-Actor}.  The product will be able to distinguish between authorized and unauthorized{B-Actor} users{I-Actor} in all access attempts,,,,,,,
US,The product{B-SSW} shall be intuitive and self-explanatory.,90% of new users shall be able to start the display of Events or Activities within 90 minutes of using the product.,,,,,,product
PE,The product{B-SSW} shall respond fast to keep up-to-date data{B-VART} in the display{B-HW}.,,,,,,,
F,The system shall have a MDI{B-VART} form{I-INFO} that allows for the viewing of the graph{B-VART} and the data table{B-VART}.,,,,,,,
F,The system shall display Events{B-EVE} in a vertical table{B-VART} by time.,,,,,,,
F,The system shall display the Events{B-EVE} in a graph{B-INFO} by time{B-TIM}.,,,,,,,
L,All business rules{B-INFO} specified in the Disputes System{B-SSW} shall be in compliance to the guidelines of Regulation{B-GUI} E and Regulation{I-GUI} Z.,,,,,,,
L,The Disputes{B-EVE} application must maintain a detailed history{B-TIM} of every action that a user{B-EVE} takes on a dispute{B-EVE} case{I-EVE}.  This ensures a complete audit{B-INFO} trail if questions arise later on with regard to a particular dispute{I-EVE} case{I-EVE}.,,,,,,,
L,All actions{B-EVE} that modify an existing dispute{B-EVE} case{I-EVE} must be recorded in the case history{B-TIM}.,,,,,,,
F,The Disputes System must be accessible by both internal and external users{B-EVE}.,,,,,,,
F,The Disputes System{B-SSW} must prevent users{B-EVE} from accessing any dispute{I-EVE} cases{I-EVE} that do not belong to their cardholder base.,,,,,,,
F,The Disputes System{B-SSW} will facilitate direct data{B-INFO} entry of a dispute{I-EVE} case{I-EVE} via a user interface that supports real time responses to the users{B-EVE}.,,,,,,,
F,The Disputes System{B-SSW} must provide different levels of access with regard to disputes{B-EVE} case initiation and follow-up actions.,,,,,,,
F,The Disputes System{B-SSW} shall provide view access capability for authorized{B-AUTH} users{B-EVE} of the application.,,,,,,,
F,The Disputes System{B-SSW} shall provide update access capability for authorized{B-AUTH} users{B-EVE} of the application.,,,,,,,
F,The Disputes System{B-SSW} must allow the users{B-EVE} to select disputable transactions (based on the age of the transaction) from a user interface and initiate a dispute (ticket retrieval request or chargeback notification) on the selected transaction.,,,,,,,
F,The Disputes System{B-SSW} must provide the user the ability to initiate a single dispute case on multiple transactions{B-SSW} that belong to a single merchant{B-EVE}.,,,,,,,
F,The Disputes System{B-SSW} will provide the user the ability to create or initiate a ticket{B-PART} retrieval request.   As part of ticket{I-PART} retrieval creation process the system must prompt the user{B-EVE} to enter all the required information to create the ticket{I-PART} retrieval request.  The ticket{I-PART} retrieval request is a document that is sent to merchant inquiring the validity of a transaction.,,,,,,,
F,The Disputes System{B-SSW} must allow the user{B-EVE} to create three unique types of ticket{I-PART} retrieval requests.  The three types of ticket{I-PART} retrieval requests are (1) Request for original receipt{I-PART} (2) Request for a copy of the receipt{I-PART} or (3) Request for a portfolio. A portfolio consists of documentation that would provide proof of a purchase such as the documentation that is received from a car{I-PART} rental agency{B-ORG} that is more than a sales receipt{I-PART}.,,,,,"retrieval request, receipt",,
F,The Disputes System must prevent external users from requesting original receipts. Requests for original receipts are restricted to internal users.,,,,,,,
F,The Disputes System{B-SSW} must provide a confirmation to the user{B-EVE} upon the creation of ticket{I-PART} retrieval request that contains the following information; the dispute{B-EVE} case number  the type of retrieval requested (copy  original or portfolio)  and the date{B-TIM} that the merchant response is due.,,,,,,,
F,The Disputes System{B-SSW} shall allow the user{B-EVE} to create or initiate a chargeback request.  The system must prompt the user{B-EVE} to enter the required information to initiate a chargeback request. The chargeback request results in a printed chargeback notification that is sent to merchant{B-EVE} indicating that their account will be charged back if no proof is provided that the disputed transaction is valid.,,,,,,,
F,The Disputes System{B-SSW} must provide a confirmation to the user{B-EVE} upon the creation of a chargeback request. The confirmation must contain the following information; the dispute{I-EVE} case{I-EVE} number{B-NUM}  the type of chargeback requested (pending or immediate)  and the date{B-TIM} that the merchant{I-EVE} response is due.,,,,,,,
F,The Disputes System{B-SSW} shall prevent the creation of duplicate dispute{I-EVE} requests 100% of the time{B-TIM}.,,,,,,,
F,The Disputes System{B-SSW} shall accurately provide a list of possible reason codes for a given transaction.  The list of possible reason codes must be derived based on the type of transaction and the industry{B-ORG} that the merchant{B-EVE} belongs to  according to the business{I-ORG} rules defined for the Disputes{I-EVE} System.,,,,,,,
F,The Disputes System{B-SSW} must provide the ability to view existing dispute{B-EVE} cases{B-EVE}.,,,,,,,
F,The Disputes System{B-SSW} must provide Search functionality.  The search method must include the ability to search by (1) the dispute{B-EVE} case{B-EVE} number{B-NUM}  (2) the merchant{B-EVE} account number{I-EVE}  (3) the cardmember{I-EVE} account number{I-NUM} and (4) the issuer{I-EVE} number{I-NUM}.  In addition to the above criteria  the search functionality must further allow the user to limit the results of the search by a date{B-TIM} range{B-NUM}  the type of dispute{I-EVE} (ticket{B-PART} retrieval request or chargeback notification)  the case status (open  closed or all) and the dispute{I-EVE} reason code.,,,,,,,
F,A list of all disputes cases{B-SSW} that meet the entered search criteria must be provided to the user{B-EVE}.  The list of cases must differentiate the type and/or status of the case by color -coding the line item in the list.  For example all open cases will be yellow and all closed cases will be gray.,,,,,,,
F,The Disputes System{B-SSW} shall provide the users the ability to view the history{B-TIM} of all activities that have occurred on the dispute{I-EVE} case{I-EVE}.,,,,,,,
F,The Dispute System{B-SSW} shall provide the users{B-EVE} with the ability to follow up on a dispute{I-EVE} case via follow-up actions.  The list of available follow up actions for a given dispute{I-EVE} case {I-EVE}must be filtered by the status of the case and the access level of the user{I-EVE}.,,,,,,,
F,The Disputes System{B-SSW} shall record the name of the user{B-EVE} and the date{B-TIM} for any activity that creates or modifies the disputes{I-EVE} case in the system.  A detailed history{B-TIM} of the actions taken on the case  including the date{I-TIM} and the user{I-EVE} that performed the action must be maintained for auditing purposes.,,,,,,,
F,For any systematic (non-user initiated) action that occurs on a case such as the disputes{B-EVE} aging process  a case activity will be generated.  Upon the next logon the user{B-EVE} that initiated the dispute{I-EVE} case{I-EVE} must be notified that a systematic action has occurred on the dispute{I-EVE} case{I-EVE}.,,,,,,,
F,All letter{B-PART} requests must be formatted according to guidelines{B-INFO} specified by the Print Letter Utility system.,,,,,,,
F,Any disputes{B-EVE} cases{I-EVE} that have been closed for over 6{B-TIM} months{I-TIM} must be purged from the online disputes{I-EVE} database.,,,,,,,
O,The product{B-PART} must support Internet{B-PLAT} Explorer{I-PLAT} 5.5{I-PLAT} and above.,,,,,,,
O,The product{B-PART} must support Mozilla{B-PLAT} Firefox{I-PLAT} 1.0 {I-PLAT}and above.,,,,,,,
O,The product{B-PART} shall interface with the Choice Parts System.  This provides the feed of recycled parts data{B-INFO}.,,,,,,,
O,The product{B-PART} shall run on the existing hardware for all environments{B-VART}.,,,,,,,
O,The product{B-PART} shall adhere to the corporate{B-ORG} Architecture{I-EVE} guidelines{B-INFO},,,,,,,
LF,The product{B-PART} shall comply with corporate{B-ORG} User Interface Guidelines{B-INFO},,,,,,,
LF,The product{B-PART} shall comply with corporate color scheme,,,,,,,
LF,The appearance of the product{B-PART} shall appear professional,,,,,,,
PO,The software product{B-PART} is expected to run on Windows{B-SSW} or Linux{B-SSW} platforms.,,,,,,,
US,The product{B-PART} shall be easy to use by Adjusters{B-HW} and Collision{I-HW} Estimators{I-HW}.  95%{B-NUM} of Adjusters{I-HW} and Collision{I-HW} Estimators{I-HW} shall find the product{I-PART} easy to use.,,,,,,,
US,The product{B-PART} shall increase productivity of Collision Estimators{B-HW}. 80% {B-NUM} of the Collision Estimators{I-HW} shall agree their productivity has increase within 1 month{B-TIM} of using the product{I-PART}.,,,,,,,
US,Users{B-EVE} shall feel satisfied using the product.  85%{B-NUM} of all users will be satisfied with the product.,,,,,,,
US,The product{B-PART}shall be easy to learn by Adjusters{B-HW} and Collision{I-HW} Estimators{I-HW}.  The product{I-PART} shall be learned with two days onsite training,,,,,,,
US,The user{B-EVE} shall easily locate instructions while using the product{B-PART}.  User{I-PART} help can be found within 90%{B-NUM} of the system.,,,,,,,
PE,The search for recycled parts shall take no longer than 15 seconds{B-TIM}.  The search results shall be returned in under 15 seconds{I-TIM}.,,,,,,,
PE,The search for the preferred repair facility shall take no longer than 8 seconds{B-TIM}.  The preferred repair facility is returned within 8 seconds{B-TIM},,,,,,,
PE,The recycled parts audit report shall be returned to the user within 10 seconds{B-TIM}.  The audit report shall be returned within 10 seconds{I-TIM}.,,,,,,,
PE,The preferred repair facility ratings shall be saved within 5 seconds{B-TIM}. The save shall occur within 5 seconds{I-TIM}.,,,,,,,
A,The product{B-PART} shall adhere to the corporate online availability schedule.  The application is brought down only within 98%{B-NUM} of the scheduled outages per the availability schedule.,,,,,,,
A,The product{B-PART} shall achieve a 98%{B-TIM} uptime. The product shall not fail more than 2%{I-TIM} of the available online time.,,,,,,,
SC,The product{B-PART} shall be able to handle up to 1500{B-NUM} simultaneous users{B-EVE}. The system shall perform with 1500{I-NUM} users{I-EVE} as a time.,,,,,,,
SC,The average number of recycled parts records per day{B-TIM} shall be 50 000{B-NUM}.,,,,,,,
SC,The product shall be able to handle 10 000{B-NUM} concurrent users{B-EVE} within 2{B-NUM} years{B-TIM} of the initial launch.,,,,,,,
O,For estimators  the product{B-PART} shall be able to be operated in a repair facility during dirty and noisy conditions.,,,,,,,
O,The product shall interface with the ChoiceParts system once per day at approximately 1{B-NUM},12:00 AM,,,,,,
O,The maintenance of the product{B-PART} will fall within the established corporate maintenance windows.,,,,,,,
O,The product{B-PART} shall be supported using the corporate support center.,,,,,,,
O,Product{B-PART} installations and upgrades shall be handled by the middleware technology team within established launch time frames.,,,,,,,
SE,Only adjusters{B-HW} can request recycled parts audit reports. No users{B-EVE} without an adjuster role shall request recycled parts audits.,,,,,,,
SE,Only adjusters{B-HW} with a supervisor role can update preferred repair facility ratings{B-NUM}. Users{B-EVE} without the supervisor role cannot access the repair facility ratings{I-NUM}.,,,,,,,
SE,Only collision estimators{B-HW} shall search for recycled parts.  Users{B-EVE} without the collision estimator{I-HW} role shall not have access to the search for recycled parts.,,,,,,,
SE,Only valid data shall be entered into the system{B-SSW}.  No invalid data shall be entered into the system{I-SSW}.,,,,,,,
SE,One insurance company{B-ORG} shall not be able to view another insurance companys{I-ORG} claim data.,,,,,,,
SE,The product{B-PART} shall free of computer viruses{B-SSW}.,,,,,,,
SE,The system{B-SSW} shall prevent malicious attacks including denial of service{B-EVE}.,,,,,,,
L,The product{B-PART} must comply with Sarbanes-Oxley{B-INFO}.,,,,,,,
L,The product {B-PART}shall comply with the estimatics laws{B-INFO} relating to recycled parts usage.,,,,,,,
L,The product{B-PART}shall comply with insurance regulations{B-INFO} regarding claims processing.,,,,,,,
